,cl,cu,rmse,rmse_err
0,0.1,0.5,0.4684497117996216,0.012503451098038137
1,0.1,1.0,0.47463143600357904,0.007297546960714713
2,0.1,1.5,0.48343990776273943,0.007793694556190719
3,0.1,2.0,0.48936104642020334,0.008480739731744305
4,0.1,2.5,0.4924918949604034,0.005515837574369044
5,0.1,3.0,0.4940756420294443,0.009381786935461052
6,0.1,3.5,0.4991732617219289,0.002949820669359671
7,0.1,4.0,0.5147583670086331,0.006509355494965099
8,0.15,0.5,0.47752122945255704,0.0030910236455953207
9,0.2,0.5,0.46682603359222413,0.005370926106270528
10,0.25,0.5,0.46500565210978184,0.007671359620822022
11,0.3,0.5,0.469341704580519,0.002093990440330757
12,0.35,0.5,0.46976397633552547,0.005065846105805725
13,0.4,0.5,0.46621614760822716,0.007704927360596687
14,0.45,0.5,0.4681797822316487,0.004508900352474332
