,cl,cu,rmse,rmse_err
0,0.1,0.5,0.40209823515680104,0.0023571187064763497
1,0.1,1.0,0.41461938089794587,0.004023716263892212
2,0.1,1.5,0.41563455396228366,0.0033380943656683352
3,0.1,2.0,0.4225447138150533,0.0036595191612929087
4,0.1,2.5,0.42907884518305467,0.003982380959125628
5,0.1,3.0,0.42833396726184425,0.0021177444250839853
6,0.1,3.5,0.42798599998156234,0.003836111205847022
7,0.1,4.0,0.41865727570321826,0.004965278730663113
8,0.15,0.5,0.40524438156021964,4.9334147806317565e-05
9,0.2,0.5,0.3990326954258813,0.003073500271720201
10,0.25,0.5,0.4010603030522664,0.000946885045315697
11,0.3,0.5,0.40294319523705374,0.0029439515328960244
12,0.35,0.5,0.4036227292484707,0.004207278556561622
13,0.4,0.5,0.40553727282418145,0.0011996107342451944
14,0.45,0.5,0.40335817005899216,0.001933727605451066
